PELOTAS;431440702A;RS;Centro;-52.342;-31.77;2019-10-29 20:20:00.0;0.00;;;
PELOTAS;431440702A;RS;Centro;-52.342;-31.77;2019-10-29 21:20:00.0;0.00;;;
PELOTAS;431440702A;RS;Centro;-52.342;-31.77;2019-10-29 22:20:00.0;0.00;;;
PELOTAS;431440702A;RS;Centro;-52.342;-31.77;2019-10-29 23:20:00.0;0.00;;;
PELOTAS;431440703A;RS;Areal;-52.317;-31.746;2019-10-29 00:10:00.0;0.00;;;
PELOTAS;431440703A;RS;Areal;-52.317;-31.746;2019-10-29 01:10:00.0;0.00;;;
PELOTAS;431440703A;RS;Areal;-52.317;-31.746;2019-10-29 02:10:00.0;0.80;;;
PELOTAS;431440703A;RS;Areal;-52.317;-31.746;2019-10-29 02:20:00.0;1.80;;;
PELOTAS;431440703A;RS;Areal;-52.317;-31.746;2019-10-29 02:30:00.0;4.00;;;
PELOTAS;431440703A;RS;Areal;-52.317;-31.746;2019-10-29 02:40:00.0;5.60;;;
PELOTAS;431440703A;RS;Areal;-52.317;-31.746;2019-10-29 02:50:00.0;1.40;;;
PELOTAS;431440703A;RS;Areal;-52.317;-31.746;2019-10-29 03:00:00.0;2.40;;;
PELOTAS;431440703A;RS;Areal;-52.317;-31.746;2019-10-29 03:10:00.0;1.20;;;
PELOTAS;431440703A;RS;Areal;-52.317;-31.746;2019-10-29 03:40:00.0;0.80;;;
PELOTAS;431440703A;RS;Areal;-52.317;-31.746;2019-10-29 03:50:00.0;0.40;;;
PELOTAS;431440703A;RS;Areal;-52.317;-31.746;2019-10-29 04:00:00.0;1.40;;;
PELOTAS;431440703A;RS;Areal;-52.317;-31.746;2019-10-29 04:10:00.0;0.60;;;
PELOTAS;431440703A;RS;Areal;-52.317;-31.746;2019-10-29 05:10:00.0;0.00;;;
PELOTAS;431440703A;RS;Areal;-52.317;-31.746;2019-10-29 06:10:00.0;0.00;;;
PELOTAS;431440703A;RS;Areal;-52.317;-31.746;2019-10-29 07:10:00.0;0.00;;;
PELOTAS;431440703A;RS;Areal;-52.317;-31.746;2019-10-29 07:30:00.0;0.20;;;
PELOTAS;431440703A;RS;Areal;-52.317;-31.746;2019-10-29 07:50:00.0;0.20;;;
PELOTAS;431440703A;RS;Areal;-52.317;-31.746;2019-10-29 08:10:00.0;0.00;;;
PELOTAS;431440703A;RS;Areal;-52.317;-31.746;2019-10-29 09:10:00.0;0.00;;;
PELOTAS;431440703A;RS;Areal;-52.317;-31.746;2019-10-29 10:10:00.0;0.00;;;
PELOTAS;431440703A;RS;Areal;-52.317;-31.746;2019-10-29 10:50:00.0;4.00;;;
PELOTAS;431440703A;RS;Areal;-52.317;-31.746;2019-10-29 11:00:00.0;7.60;;;
PELOTAS;431440703A;RS;Areal;-52.317;-31.746;2019-10-29 11:10:00.0;2.60;;;
PELOTAS;431440703A;RS;Areal;-52.317;-31.746;2019-10-29 11:20:00.0;2.40;;;
PELOTAS;431440703A;RS;Areal;-52.317;-31.746;2019-10-29 11:30:00.0;1.00;;;
PELOTAS;431440703A;RS;Areal;-52.317;-31.746;2019-10-29 11:40:00.0;0.60;;;
PELOTAS;431440703A;RS;Areal;-52.317;-31.746;2019-10-29 11:50:00.0;0.40;;;
PELOTAS;431440703A;RS;Areal;-52.317;-31.746;2019-10-29 12:00:00.0;1.40;;;
PELOTAS;431440703A;RS;Areal;-52.317;-31.746;2019-10-29 12:10:00.0;2.00;;;
PELOTAS;431440703A;RS;Areal;-52.317;-31.746;2019-10-29 12:20:00.0;2.40;;;
PELOTAS;431440703A;RS;Areal;-52.317;-31.746;2019-10-29 12:30:00.0;2.20;;;
